country,rate_non_res_2014_2023
AT,0.021710444
BE,0.03116515
EL,0.010815439
LT,0.032207463
PT,0.01402434
BG,0.029450406
ES,0.003255483
LU,0.083255081
RO,0.045484302
CZ,0.011310836
FR,0.035334134
HU,0.040409693
SI,0.027399723
DK,0.030660673
HR,0.025970665
MT,0.100931345
SK,0.019507779
DE,0.008638312
IT,0.012067701
NL,0.021102069
FI,0.041025158
EE,0.065111297
CY,0.015174695
SE,0.020488076
IE,0.04380063
LV,0.034993616
PL,0.043091385
