Country,SFH,MFH,ABL
BE,77.7,14.6,7.7
BG,53.9,6.6,39.5
CZ,48.6,13.3,38.1
DK,65.6,7.7,26.7
DE,43.8,40.0,16.2
EE,38.7,7.7,53.6
IE,91.2,4.0,4.8
EL,40.8,38.7,20.5
ES,33.9,19.6,46.4
FR,65.6,9.3,25.1
HR,78.3,6.7,15.0
IT,46.9,26.8,26.3
CY,74.4,17.5,8.1
LT,41.2,8.5,50.3
LU,59.9,25.3,14.7
HU,73.5,3.9,22.6
MT,42.9,51.1,6.0
NL,79.2,5.6,15.2
AT,53.7,17.7,28.6
PL,55.7,9.0,35.2
PT,53.4,26.5,20.2
RO,65.9,3.4,30.7
SI,72.4,8.2,19.5
SK,53.6,6.4,40.0
FI,64.3,1.7,34.0
SE,53.3,10.8,35.9
LV,34.6,7.1,58.4
